"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","5","","Halstead","Road","","","Pleasant Point","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","0% to less than 20%","01/07/2047","No","Timaru District Council","","Medium"
"","","","500","","Murdoch","Road","East","Akina","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","31/03/2025","Not determined","05/08/2041","No","Hastings District Council","","High"
"","","","16","","Cox","Street","","","Geraldine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","20% to less than 34%","01/07/2047","No","Timaru District Council","","Medium"
"","","","78","","Talbot","Street","","","Geraldine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","31/03/2025","0% to less than 20%","24/08/2037","Yes","Timaru District Council","Historic place category 2","Medium"
"","","","47","","Wai iti","Road","","Maori Hill","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","0% to less than 20%","01/07/2047","No","Timaru District Council","Historic place category 2","Medium"
"","","","124","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","20% to less than 34%","30/01/2041","Yes","Timaru District Council","Historic place category 2","Medium"
"","","","139","A","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","Not determined","28/03/2050","No","Whanganui District Council","","Medium"
"","","","125","","Normanby","Road","","","Paeroa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/06/2024","Not determined","25/12/2040","Yes","Hauraki District Council","","Medium"
"","","","139","","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","Not determined","28/03/2050","No","Whanganui District Council","","Medium"
"","","","922","","Heretaunga","Street","East","Parkvale","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Halo Hair Design","","","","","","","","","","EPB notice","31/03/2025","Not determined","20/11/2040","No","Hastings District Council","","High"
"","","","300","","Prospect","Road","","Raureka","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hawkes Bay Racing Club - Toilet Block & Apprentice Jockey Room","","","","","","","","","","EPB notice","31/03/2025","Not determined","28/11/2039","No","Hastings District Council","","High"
"Storage ","Block F ","","56","","Palmer","Crescent","","Silverstream","Upper Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/03/2025","Not determined","21/11/2034","No","Upper Hutt City Council","","High"
"","","","184","","Marchant","Road","","Kaitoke","Upper Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/11/2023","0% to less than 20%","19/11/2042","No","Upper Hutt City Council","","High"
"","","","207","","Fergusson","Drive","","Heretaunga","Upper Hutt","Dowling ","Library","","207","","Fergusson","Drive","","Heretaunga","Upper Hutt","Pavilion","Block 22","","207","","Fergusson","Drive","","Heretaunga","Upper Hutt","Old Gym","Block 19","","207","","Fergusson","Drive","","Heretaunga","Upper Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dowling Blocks and The Library","Old Gym and Sports Pavillion","","","","","","","","","EPB notice","11/05/2023","0% to less than 20%","06/11/2034","No","Upper Hutt City Council","","High"
"","","","54","","Mersey","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","Not determined","16/08/2039","No","Gore District Council","","Medium"
"","","","137","A","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/03/2025","Not determined","28/03/2050","No","Whanganui District Council","","Medium"
"","","","175","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","09/08/2038","Yes","Timaru District Council","","Medium"
"","","","173","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","09/08/2038","Yes","Timaru District Council","","Medium"
"","","","300","","Prospect","Road","","Raureka","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hawkes Bay Racing Club - Grandstands","","","","","","","","","","EPB notice","27/03/2025","Not determined","28/11/2039","No","Hastings District Council","","High"
"","","","","","State Highway 1","","","","Waiouru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/10/2024","20% to less than 34%","23/10/2053","No","Ruapehu District Council","","Medium"
"","","","55","","Miriama","Street","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/08/2024","Not determined","23/08/2053","No","Ruapehu District Council","","Medium"
"","","","53","","Miriama","Street","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","22/08/2024","Not determined","22/08/2053","No","Ruapehu District Council","","Medium"
"","","","9","","Marae","Street","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","22/08/2024","Not determined","22/08/2053","No","Ruapehu District Council","","Medium"
"","","","66","","Miriama","Street","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","12/07/2024","Not determined","12/07/2053","No","Ruapehu District Council","","Medium"
"","","","68","","Miriama","Street","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","17/06/2024","Not determined","17/06/2053","No","Ruapehu District Council","","Medium"
"","","","15","","Morero","Terrace","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","17/06/2024","Not determined","17/06/2053","No","Ruapehu District Council","","Medium"
"","","","240","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","20% to less than 34%","26/09/2038","Yes","Timaru District Council","","Medium"
"","","","17","","Beswick","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","0% to less than 20%","12/09/2038","Yes","Timaru District Council","Historic place category 2","Medium"
"","","","171","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/02/2022","Not determined","09/08/2038","Yes","Timaru District Council","","Medium"
"","","","302","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","28/09/2038","Yes","Timaru District Council","","Medium"
"","","","73","","Sophia","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","20% to less than 34%","19/10/2040","Yes","Timaru District Council","","Medium"
"","","","28","","Miriama","Street","","","Taumarunui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/06/2024","Not determined","27/06/2053","No","Ruapehu District Council","","Medium"
"","","","42","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","13/07/2036","Yes","Tararua District Council","","High"
"","","","173","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","02/07/2043","No","Tararua District Council","","High"
"","","","146","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","02/01/2036","Yes","Tararua District Council","","High"
"","","","22","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/08/2035","Yes","Tararua District Council","","High"
"","","","66","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/08/2035","Yes","Tararua District Council","","High"
"","","","36","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","Historic place category 2","High"
"","","","136","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","","High"
"","","","128","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","","High"
"","","","129","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","","High"
"","","","104","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","","High"
"","","","48","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","","High"
"","","","44","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/03/2025","Not determined","29/07/2035","Yes","Tararua District Council","","High"
"","","","137","","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","26/03/2050","No","Whanganui District Council","","Medium"
"","","","102","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","19/06/2035","Yes","Tararua District Council","","High"
"","","","34","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","05/07/2042","No","Tararua District Council","","High"
"","","","11","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","03/01/2035","Yes","Tararua District Council","","High"
"","","","59","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","03/01/2035","Yes","Tararua District Council","","High"
"","","","16","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","03/01/2035","Yes","Tararua District Council","","High"
"","","","90","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","78","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","52","","Mersey","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","16/08/2039","No","Gore District Council","","Medium"
"","","","48","","Mersey","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","28/08/2038","No","Gore District Council","","Medium"
"","","","45","","Mersey","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cave FM","","","","","","","","","","EPB notice","25/03/2025","Not determined","16/07/2039","No","Gore District Council","","Medium"
"","","","","","Woollcombe","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","20% to less than 34%","17/06/2038","Yes","Timaru District Council","","Medium"
"","","","","","Barnard","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","0% to less than 20%","17/06/2038","Yes","Timaru District Council","","Medium"
"","","","23","","Barnard","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","20% to less than 34%","17/06/2038","Yes","Timaru District Council","","Medium"
"","","","23","","Barnard","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","Not determined","17/06/2038","Yes","Timaru District Council","","Medium"
"","","","13","","Woollcombe","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","Not determined","17/06/2038","Yes","Timaru District Council","","Medium"
"","","","15","","Woollcombe","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","Not determined","17/06/2038","Yes","Timaru District Council","","Medium"
"","","","44","","Mersey","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gore TV and Radio","","","","","","","","","","EPB notice","25/03/2025","Not determined","28/08/2038","No","Gore District Council","","Medium"
"","","","13","","Ritchie","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/03/2025","Not determined","20/05/2038","Yes","Timaru District Council","","Medium"
"","","","26","","Royal","Arcade","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/12/2021","0% to less than 20%","21/06/2038","Yes","Timaru District Council","","Medium"
"","","","174","","Stafford","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","30/07/2038","Yes","Timaru District Council","","Medium"
"","","","135","","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","25/09/2037","No","Whanganui District Council","","Medium"
"","","","53","","Main","Road","","","Tuatapere","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","25/03/2050","No","Southland District Council","","Medium"
"","","","118","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","114","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","40","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","Scheduled by the TA","High"
"","","","139","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","132","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","121","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","119","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","115","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","91","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","143","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","20% to less than 34%","27/07/2034","Yes","Tararua District Council","","High"
"","","","28","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","Scheduled by the TA","High"
"","","","53","","High","Street","","","Dannevirke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/03/2025","Not determined","27/07/2034","Yes","Tararua District Council","","High"
"","","","120","","Willowpark","Road","South","","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Retail & Wholesale Grocery","","","","","","","","","","EPB notice","24/03/2025","Not determined","20/11/2039","No","Hastings District Council","","High"
"","","","75","","Elwood","Road","","Waipatu","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","24/03/2025","Not determined","20/11/2039","No","Hastings District Council","","High"
"","","","24","","Irk","Street","","","Gore","","","","30","","Irk","Street","","","Gore","","","","32","","Irk","Street","","","Gore","","","","26","","Irk","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cranmer Court","","","","","","","","","","EPB notice","24/03/2025","Not determined","24/05/2038","No","Gore District Council","","Medium"
"","","","39","","Medway","Street","","","Gore","","","","39","A","Medway","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Property Brokers","","","","","","","","","","EPB notice","24/03/2025","Not determined","28/08/2038","No","Gore District Council","","Medium"
